variable;variable_old;text;info
gender;Q8;Bitte geben Sie Ihr Geschlecht an:;"{""ImportId"":""QID5""}"
age;Q10;Wie alt sind Sie? (Angabe in Jahren);"{""ImportId"":""QID6_TEXT""}"
edu;Q16;Bitte nennen Sie uns Ihren hÌ¦chsten bisher erreichten Bildungsabschluss:;"{""ImportId"":""QID9""}"
edunow;Q12;Bitte geben Sie die Form Ihrer derzeit ausgeÌ_bten TÌ_tigkeit an:;"{""ImportId"":""QID7""}"
job;Q14;In welcher Branche sind Sie aktuell tÌ_tig? Hierzu zÌ_hlen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstÌ_tig sind, geben Sie bitte das Berufsfeld Ihrer letzten TÌ_tigkeit an. - Selected Choice;"{""ImportId"":""QID8""}"
job_text;Q14_17_TEXT;In welcher Branche sind Sie aktuell tÌ_tig? Hierzu zÌ_hlen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstÌ_tig sind, geben Sie bitte das Berufsfeld Ihrer letzten TÌ_tigkeit an. - Sonstiges (bitte angeben) - Text;"{""ImportId"":""QID8_17_TEXT""}"
jobtime;Q72;Wie lange sind Sie in Ihrer aktuellen Jobposition bereits tÌ_tig? (Angabe in Jahren)Wenn Sie momentan nicht berufstÌ_tig sind, beziehen Sie sich bitte auf ihre letzte Jobposition.;"{""ImportId"":""QID109_TEXT""}"
distance;Q25;Bitte geben Sie die ungefÌ_hre Entfernung von Ihrem Zuhause zu Ihrer Arbeitsstelle an (in km).;"{""ImportId"":""QID23_TEXT""}"
workingtime;Q27;Wie viele Stunden arbeiten Sie durchschnittlich pro Woche?;"{""ImportId"":""QID24""}"
numb_employ;Q29;Wie viele Mitarbeiter beschÌ_ftigt Ihr Arbeitgeber (Anzahl der BeschÌ_ftigen des Unternehmens)?;"{""ImportId"":""QID25_TEXT""}"
remote;Q41;Haben Sie die MÌ¦glichkeit, an einem anderen Ort als ihrem Standard-Arbeitsplatz zu arbeiten (z.B. Home-Office, Kundenbesuche, externe Meetings)?;"{""ImportId"":""QID115""}"
remote_hours;Q42;Wie viele Arbeitstage pro Woche arbeiten Sie nicht von Ihrem Arbeitsplatz aus?;"{""ImportId"":""QID116""}"
flex_1;Q43_1;Bei den folgenden Fragen geht es um die Art der FlexibilitÌ_t ihres Berufes. - Einige Aufgaben meines Jobs muss ich von unterwegs erfÌ_llen, z.B. beim Kunden oder in Meetings.;"{""ImportId"":""QID117_1""}"
flex_2;Q43_2;Bei den folgenden Fragen geht es um die Art der FlexibilitÌ_t ihres Berufes. - Mein Arbeitgeber setzt mich flexibel an vielen Orten ein.;"{""ImportId"":""QID117_2""}"
flex_3;Q43_3;Bei den folgenden Fragen geht es um die Art der FlexibilitÌ_t ihres Berufes. - Meistens entscheidet mein Arbeitgeber, von wo aus ich arbeite.;"{""ImportId"":""QID117_3""}"
flex_4;Q43_4;Bei den folgenden Fragen geht es um die Art der FlexibilitÌ_t ihres Berufes. - Einige Aufgaben meines Jobs darf ich an einem beliebigen Ort erfÌ_llen, z.B. Zuhause oder in einem Coworking CafÌ©;"{""ImportId"":""QID117_4""}"
flex_5;Q43_5;Bei den folgenden Fragen geht es um die Art der FlexibilitÌ_t ihres Berufes. - Ich kann flexibel von vielen Orten aus arbeiten.;"{""ImportId"":""QID117_5""}"
flex_6;Q43_6;Bei den folgenden Fragen geht es um die Art der FlexibilitÌ_t ihres Berufes. - Meistens entscheide Ich selbst, von wo aus ich arbeite.;"{""ImportId"":""QID117_6""}"
feel_work_1;Q38_1;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Mir fÌ_llt es schwer, privates und berufliches voneinander zu trennen.;"{""ImportId"":""QID79_1""}"
feel_work_2;Q38_2;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Ich bin mit meiner derzeitigen Arbeit zufrieden.;"{""ImportId"":""QID79_2""}"
feel_work_3;Q38_3;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Mein Arbeitgeber unterstÌ_tzt aktiv das mobile Arbeiten.;"{""ImportId"":""QID79_3""}"
feel_work_4;Q38_4;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Beim mobilen Arbeiten bin ich produktiver.;"{""ImportId"":""QID79_4""}"
feel_work_5;Q38_5;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Mobiles Arbeiten stÌ¦rt die EffektivitÌ_t der Arbeit.;"{""ImportId"":""QID79_5""}"
feel_work_6;Q38_6;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Die Digitalisierung verschlechtert Arbeitsprozesse.;"{""ImportId"":""QID79_6""}"
feel_work_7;Q38_7;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Ich muss oft zusÌ_tzliche Zeit Ì_ber die formalen Stunden meines Jobs arbeiten.;"{""ImportId"":""QID79_7""}"
feel_work_8;Q38_8;In diesem Block mÌ¦chten wir gerne erfahren, wie Sie persÌ¦nlich Ihre Arbeit wahrnehmen. - Mit den Arbeitszeiten in meinem Beruf bin ich zufrieden.;"{""ImportId"":""QID79_8""}"
