variable;variable_old;text;info
gender;gender;Bitte geben Sie Ihr Geschlecht an:;"{""ImportId"":""QID9""}"
marital status;marital status;Bitte geben Sie im Folgenden Ihren Familienstand an.;"{""ImportId"":""QID116""}"
age;age;Bitte geben Sie Ihr Alter in Jahren an:;"{""ImportId"":""QID10_TEXT""}"
education;education;Bitte geben Sie Ihren höchsten Schulabschluss an:;"{""ImportId"":""QID11""}"
activity;activity;Bitte geben Sie an, was Ihre derzeitige Tätigkeit am besten beschreibt.;"{""ImportId"":""QID37""}"
kut_1;kut_1;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Ich kann ziemlich viele der technischen Probleme, mit denen ich konfrontiert bin, allein lösen.;"{""ImportId"":""QID142_1""}"
kut_2;kut_2;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Es macht mir richtig Spaß, ein technisches Problem zu knacken.;"{""ImportId"":""QID142_7""}"
kut_3;kut_3;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Weil ich mit bisherigen technischen Problemen gut zurecht gekommen bin, blicke ich auch künftigen technischen Problemen optimistisch entgegen.;"{""ImportId"":""QID142_8""}"
kut_4;kut_4;Hier möchten wir etwas über Ihren Umgang mit Technik erfahren. Mit technischen Problemen sind Schwierigkeiten im Umgang mit den verschiedenen Geräten aus Alltag und Beruf gemeint, z.B. Konfigurieren eines neuen Telefons, Arbeiten mit dem Computer, Kaufen von Fahrkarten an einem Fahrkartenautomaten, etc. Bittebewerten Sie folgende Aussagen aus Ihrer persönlichen Sichtweise. - Ich fühle mich technischen Geräten gegenüber so hilflos, dass ich die Finger von ihnen lasse.;"{""ImportId"":""QID142_9""}"
currentedu;Q17;Befinden Sie sich derzeit in einer Ausbildung oder haben Sie bereits eine abgeschlossene Ausbildung?;"{""ImportId"":""QID12""}"
study;Q21;Welche Art von Studium streben Sie an?;"{""ImportId"":""QID14""}"
job;Q33;Was ist ihre aktuelle Jobbezeichung?;"{""ImportId"":""QID20_TEXT""}"
jobart;Q25;In welcher Art von Arbeitsverhältnis befinden Sie sich?;"{""ImportId"":""QID16""}"
anstellung;Q27;sowohl studienbezogene, als auch Vollzeit-/Teilzeit Tätigkeiten;"{""ImportId"":""QID17""}"
arbeitszeit;Q80;Wie viele Wochenstunden arbeiten Sie in der Regel?;"{""ImportId"":""QID139_TEXT""}"
regfoc_1;regfoc_1;Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen. - Ich nutze Chancen bei der Arbeit, um das Beste für meine Weiterentwicklung zu erreichen.;"{""ImportId"":""QID30_1""}"
regfoc_2;regfoc_2;Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen. - Ich neige dazu, Risiken bei der Arbeit einzugehen, um Erfolg zu haben.;"{""ImportId"":""QID30_2""}"
regfoc_3;regfoc_3;Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen. - Wenn mein Job mir keine Weiterentwicklungsmöglichkeiten bieten würde, würde ich mich nach einem neuen Job umsehen.;"{""ImportId"":""QID30_3""}"
regfoc_4;regfoc_4;Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen. - Die Chance auf Weiterentwicklung ist ein wichtiger Faktor für mich bei der Arbeitsplatzsuche.;"{""ImportId"":""QID30_4""}"
regfoc_5;regfoc_5;Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen. - Ich konzentriere mich darauf, meine Arbeitsaufgaben korrekt abzuschließen, um meinen Arbeitsplatz zu sichern.;"{""ImportId"":""QID30_5""}"
regfoc_6;regfoc_6;Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen. - Bei der Arbeit konzentriere ich mich darauf, meine Aufgabenbereiche vollständig auszufüllen.;"{""ImportId"":""QID30_6""}"
regfoc_7;regfoc_7;Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen. - Meine Verpflichtungen auf der Arbeit zu erfüllen ist sehr wichtig für mich.;"{""ImportId"":""QID30_7""}"
regfoc_8;regfoc_8;Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen. - Normalerweise entscheide ich selbst, wie ich meine Aufgaben erledige.;"{""ImportId"":""QID30_9""}"
regfoc_9;regfoc_9;Bitte geben Sie an, inwieweit die folgenden Aussagen auf Sie zutreffen. - In der Regel versuche ich, auf der Arbeit neue Dinge zu lernen.;"{""ImportId"":""QID30_10""}"
jc_scen1_question_1;jc_scen1_question_1;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... Kollegen um Rat zu dem neu eingeführten Programm zu fragen.";"{""ImportId"":""QID32_1""}"
jc_scen1_question_2;jc_scen1_question_2;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... meinen Vorgesetzten um Rat zu dem neu eingeführten Programm zu fragen.";"{""ImportId"":""QID32_2""}"
jc_scen1_question_3;jc_scen1_question_3;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich versuche, Neues zu dem eingeführten Programm zu lernen.";"{""ImportId"":""QID32_3""}"
jc_scen1_question_4;jc_scen1_question_4;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich noch mehr Funktionen des Programms kennenlernen möchte, sobald ich die Grundlagen verstanden habe.";"{""ImportId"":""QID32_4""}"
jc_scen1_question_5;jc_scen1_question_5;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich mich aktiv daran beteiligen möchte, das neue Programm im Unternehmen zu etablieren.";"{""ImportId"":""QID32_5""}"
jc_scen1_question_6;jc_scen1_question_6;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich anderen Leuten dabei helfe, das Programm zu verstehen.";"{""ImportId"":""QID32_6""}"
jc_scen1_question_7;jc_scen1_question_7;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich versuche, die Einarbeitung in das Programm für mich so zu gestalten, dass sie mental wenig anspruchsvoll ist.";"{""ImportId"":""QID32_7""}"
jc_scen1_question_8;jc_scen1_question_8;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich versuche, die Einarbeitung in das Programm für mich so zu gestalten, dass sie emotional wenig anspruchsvoll ist.";"{""ImportId"":""QID32_8""}"
jc_scen1_question_9;jc_scen1_question_9;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich versuche, die Nutzung des Programms für mich so simpel wie möglich zu halten.";"{""ImportId"":""QID32_9""}"
jc_scen2_question_1;jc_scen2_question_1;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... Kollegen um Rat zu dem neu eingeführten Programm zu fragen";"{""ImportId"":""QID36_1""}"
jc_scen2_question_2;jc_scen2_question_2;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... meinen Vorgesetzten um Rat zu dem neu eingeführten Programm zu fragen.";"{""ImportId"":""QID36_2""}"
jc_scen2_question_3;jc_scen2_question_3;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich versuche, Neues zu dem eingeführten Programm zu lernen.";"{""ImportId"":""QID36_3""}"
jc_scen2_question_4;jc_scen2_question_4;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich noch mehr Funktionen des Programms kennenlernen möchte, sobald ich die Grundlagen verstanden habe.";"{""ImportId"":""QID36_4""}"
jc_scen2_question_5;jc_scen2_question_5;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich mich aktiv daran beteiligen möchte, das neue Programm im Unternehmen zu etablieren.";"{""ImportId"":""QID36_5""}"
jc_scen2_question_6;jc_scen2_question_6;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich anderen Leuten dabei helfe, das Programm zu verstehen.";"{""ImportId"":""QID36_6""}"
jc_scen2_question_7;jc_scen2_question_7;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - .. dass ich versuche, die Einarbeitung in das Programm für mich so zu gestalten, dass sie mental wenig anspruchsvoll ist.";"{""ImportId"":""QID36_7""}"
jc_scen2_question_8;jc_scen2_question_8;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - .. dass ich versuche, die Einarbeitung in das Programm für mich so zu gestalten, dass sie emotional wenig anspruchsvoll ist.";"{""ImportId"":""QID36_8""}"
jc_scen2_question_9;jc_scen2_question_9;"Geben Sie im Folgenden bitte an, inwieweit die aufgelisteten Aussagen vor dem Hintergrund des geschilderten Szenarios auf Sie zutreffen. 
Die Art, wie diese Änderung in meinem Unternehmen an mich kommuniziert wird, bringt mich dazu ... - ... dass ich versuche, die Nutzung des Programms für mich so simpel wie möglich zu halten.";"{""ImportId"":""QID36_9""}"
oraw1_1;oraw1_1;Wie bewerten Sie Online-Recruiting? - OR ist zeitgemäß und modern.;"{""ImportId"":""QID59_1""}"
oraw1_2;oraw1_2;Wie bewerten Sie Online-Recruiting? - Ich finde traditionelle Bewerbungsverfahren besser als OR.;"{""ImportId"":""QID59_2""}"
oraw1_3;oraw1_3;Wie bewerten Sie Online-Recruiting? - OR erfüllt meine Ansprüche an das Bewerbungsverfahren.;"{""ImportId"":""QID59_3""}"
oraw1_4;oraw1_4;Wie bewerten Sie Online-Recruiting? - Ich habe keine Meinung zu OR.;"{""ImportId"":""QID59_4""}"
oraw1_5;oraw1_5;Wie bewerten Sie Online-Recruiting? - OR hat mehr Vor- als Nachteile.;"{""ImportId"":""QID59_5""}"
oraw1_6;oraw1_6;Wie bewerten Sie Online-Recruiting? - Ich stehe OR als Bewerbungsverfahren neutral gegenüber.;"{""ImportId"":""QID59_6""}"
oraw1_7;oraw1_7;Wie bewerten Sie Online-Recruiting? - Ich würde OR in Zukunft nutzen.;"{""ImportId"":""QID59_7""}"
ore1;ore1;Haben Sie bereits Erfahrungen mit Online-Recruiting gemacht?;"{""ImportId"":""QID61""}"
orej1;orej1;Bei welchem Arbeitgeber haben Sie bereits OR genutzt?;"{""ImportId"":""QID62_TEXT""}"
