variable;variable_old;text;info
Q8;Q8;Bitte geben Sie Ihr Geschlecht an:;"{""ImportId"":""QID5""}"
Q10;Q10;Wie alt sind Sie? (Angabe in Jahren);"{""ImportId"":""QID6_TEXT""}"
Q16;Q16;Bitte nennen Sie uns Ihren höchsten bisher erreichten Bildungsabschluss:;"{""ImportId"":""QID9""}"
Q12;Q12;Bitte geben Sie die Form Ihrer derzeit ausgeübten Tätigkeit an:;"{""ImportId"":""QID7""}"
Q14;Q14;In welcher Branche sind Sie aktuell tätig? Hierzu zählen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstätig sind, geben Sie bitte das Berufsfeld ihrer letzten Tätigkeit an. - Selected Choice;"{""ImportId"":""QID8""}"
Q14_17_TEXT;Q14_17_TEXT;In welcher Branche sind Sie aktuell tätig? Hierzu zählen auch Praktika, Werkstudenten- & Aushilfsjobs.Wenn Sie momentan nich berufstätig sind, geben Sie bitte das Berufsfeld ihrer letzten Tätigkeit an. - Sonstiges (bitte angeben) - Text;"{""ImportId"":""QID8_17_TEXT""}"
Q72;Q72;Wie lange sind Sie in Ihrer aktuellen Jobposition bereits tätig? (Angabe in Jahren)Wenn Sie momentan nicht berufstätig sind, beziehen Sie sich bitte auf ihre letzte Jobposition.;"{""ImportId"":""QID109_TEXT""}"
Q25;Q25;Bitte geben Sie die ungefähre Entfernung von Ihrem Zuhause zu Ihrer Arbeitsstelle an (in km).;"{""ImportId"":""QID23_TEXT""}"
Q27;Q27;Wie viele Stunden arbeiten Sie durchschnittlich pro Woche?;"{""ImportId"":""QID24""}"
Q29;Q29;Wie viele Mitarbeiter beschäftigt Ihr Arbeitgeber (Anzahl der Beschäftigen des Unternehmens)?;"{""ImportId"":""QID25_TEXT""}"
Q41;Q41;Haben Sie die Möglichkeit, an einem anderen Ort als ihrem Standard-Arbeitsplatz zu arbeiten (z.B. Home-Office, Kundenbesuche, externe Meetings)?;"{""ImportId"":""QID115""}"
Q42;Q42;Wie viele Arbeitstage pro Woche arbeiten Sie nicht von Ihrem Arbeitsplatz aus?;"{""ImportId"":""QID116""}"
Q43_1;Q43_1;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Einige Aufgaben meines Jobs muss ich von unterwegs erfüllen, z.B. beim Kunden oder in Meetings.;"{""ImportId"":""QID117_1""}"
Q43_2;Q43_2;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Mein Arbeitgeber setzt mich flexibel an vielen Orten ein.;"{""ImportId"":""QID117_2""}"
Q43_3;Q43_3;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Meistens entscheidet mein Arbeitgeber, von wo aus ich arbeite.;"{""ImportId"":""QID117_3""}"
Q43_4;Q43_4;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Einige Aufgaben meines Jobs darf ich an einem beliebigen Ort erfüllen, z.B. Zuhause oder in einem Coworking Café;"{""ImportId"":""QID117_4""}"
Q43_5;Q43_5;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Ich kann flexibel von vielen Orten aus arbeiten.;"{""ImportId"":""QID117_5""}"
Q43_6;Q43_6;Bei den folgenden Fragen geht es um die Art der Flexibilität ihres Berufes. - Meistens entscheide Ich selbst, von wo aus ich arbeite.;"{""ImportId"":""QID117_6""}"
Q38_1;Q38_1;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mir fällt es schwer, privates und berufliches voneinander zu trennen.;"{""ImportId"":""QID79_1""}"
Q38_2;Q38_2;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Ich bin mit meiner derzeitigen Arbeit zufrieden.;"{""ImportId"":""QID79_2""}"
Q38_3;Q38_3;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mein Arbeitgeber unterstützt aktiv das mobile Arbeiten.;"{""ImportId"":""QID79_3""}"
Q38_4;Q38_4;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Beim mobilen Arbeiten bin ich produktiver.;"{""ImportId"":""QID79_4""}"
Q38_5;Q38_5;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mobiles Arbeiten stört die Effektivität der Arbeit.;"{""ImportId"":""QID79_5""}"
Q38_6;Q38_6;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Die Digitalisierung verschlechtert Arbeitsprozesse.;"{""ImportId"":""QID79_6""}"
Q38_7;Q38_7;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Ich muss oft zusätzliche Zeit über die formalen Stunden meines Jobs arbeiten.;"{""ImportId"":""QID79_7""}"
Q38_8;Q38_8;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mit den Arbeitszeiten in meinem Beruf bin ich zufrieden.;"{""ImportId"":""QID79_8""}"
Q38_9;Q38_9;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mir fällt es schwer, morgens für den Job aufzustehen.;"{""ImportId"":""QID79_9""}"
Q38_10;Q38_10;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Meine Arbeit macht mir Spaß.;"{""ImportId"":""QID79_10""}"
Q38_11;Q38_11;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Flexibilität ist in meinem Arbeitsalltag sehr wichtig.;"{""ImportId"":""QID79_11""}"
Q38_12;Q38_12;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Die Inhalte meiner Arbeit interessieren mich auch privat.;"{""ImportId"":""QID79_12""}"
Q41_1;Q41_1;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - unzufrieden:zufrieden;"{""ImportId"":""QID114_1""}"
Q41_2;Q41_2;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - gelangweilt:enthusiastisch;"{""ImportId"":""QID114_2""}"
Q41_3;Q41_3;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - deprimiert:fröhlich;"{""ImportId"":""QID114_3""}"
Q41_4;Q41_4;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - miserabel:hervorragend;"{""ImportId"":""QID114_4""}"
Q42_1;Q42_1;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Zu wissen, dass ich am Folgetag arbeiten muss, stresst mich.;"{""ImportId"":""QID81_1""}"
Q42_2;Q42_2;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Nach Feierabend fühle ich mich geschlaucht.;"{""ImportId"":""QID81_2""}"
Q42_3;Q42_3;Dieser Absatz dient dazu, mehr über Ihre Freizeit zu erfahren. - Nach Feierabend erledige ich noch Aufgaben im Haushalt oder treffe mich mit Freunden.;"{""ImportId"":""QID81_3""}"
